template.clinical.specialStatus,Special status flags,مؤشرات الحالة الخاصة,विशेष स्थिति संकेत,പ്രത്യേക നില സൂചനകൾ,,Pending native review,
template.clinical.state,State,الولاية,राज्य,സംസ്ഥാനം,,Pending native review,
template.clinical.status,Status,الحالة,स्थिति,നില,,Pending native review,
template.clinical.summary,Summary,ملخص,सारांश,സംഗ്രഹം,,Pending native review,
template.clinical.table,Table,جدول,तालिका,പട്ടിക,,Pending native review,
template.clinical.telehealth,Tele-health,الرعاية الصحية عن بُعد,टेलीहेल्थ,ടെലിഹെൽത്ത്,,Pending native review,
template.clinical.telephoneNumbers,Telephone numbers,أرقام الهاتف,टेलीफ़ोन नंबर,ടെലിഫോൺ നമ്പറുകൾ,,Pending native review,
template.clinical.temporary,Temporary,مؤقت,अस्थायी,താൽക്കാലികം,,Pending native review,
template.clinical.tertiary,Tertiary,ثالثي,तृतीय,മൂന്നാമത്തേത്,,Pending native review,
template.clinical.time,Time,الوقت,समय,സമയം,,Pending native review,
template.clinical.title,Title,اللقب,संबोधन,വിശേഷണം,,Pending native review,
template.clinical.tl,Tagalog,التاغالوغية,तागालोग,ടഗാലോഗ്,,Pending native review,
template.clinical.tooLong,This value is too long.,هذه القيمة طويلة جداً.,यह मान बहुत लंबा है।,ഈ മൂല്യം വളരെ നീളമുള്ളതാണ്.,,Pending native review,
template.clinical.treatment,Treatment,العلاج,उपचार,ചികിത്സ,,Pending native review,
template.clinical.uae,United Arab Emirates,الإمارات العربية المتحدة,संयुक्त अरब अमीरात,യുണൈറ്റഡ് അറബ് എമിറേറ്റ്സ്,,Pending native review,
template.clinical.uhid,UHID,المعرّف الصحي الموحد,एकीकृत स्वास्थ्य पहचान,ഏകീകൃത ആരോഗ്യ ഐഡി,,Pending native review,
template.clinical.uk,United Kingdom,المملكة المتحدة,यूनाइटेड किंगडम,യുണൈറ്റഡ് കിങ്ഡം,,Pending native review,
template.clinical.unknown,Unknown,غير معروف,अज्ञात,അജ്ഞാതം,,Pending native review,
template.clinical.unsaved,Unsaved,غير محفوظ,सहेजा नहीं गया,സംരക്ഷിച്ചിട്ടില്ല,,Pending native review,
template.clinical.updated,Updated,تم التحديث,अद्यतन,പുതുക്കി,,Pending native review,
template.clinical.upload,Upload,رفع,अपलोड,അപ്‌ലോഡ്,,Pending native review,
template.clinical.ur,Urdu,الأردية,उर्दू,ഉർദു,,Pending native review,
template.clinical.validUntil,Valid until,صالح حتى,मान्य होने की अंतिम तारीख,സാധുത അവസാനിക്കുന്ന തീയതി,,Pending native review,
template.clinical.value,Value,القيمة,मान,മൂല്യം,,Pending native review,
template.clinical.verbal,Verbal,شفهي,मौखिक,വാക്കാലുള്ളത്,,Pending native review,
template.clinical.verified,Verified,تم التحقق,सत्यापित,സ്ഥിരീകരിച്ചു,,Pending native review,
template.clinical.view,View,عرض,देखें,കാണുക,,Pending native review,
template.clinical.viewAll,View all ({count}),عرض الكل ({count}),सभी देखें ({count}),എല്ലാം കാണുക ({count}),,Pending native review,
template.clinical.vulnerable,Vulnerable patient,مريض يحتاج إلى حماية إضافية,अतिरिक्त सुरक्षा की आवश्यकता वाला रोगी,അധിക സംരക്ഷണം ആവശ്യമായ രോഗി,,Pending native review,
template.clinical.work,Work,العمل,कार्यस्थल,ജോലിസ്ഥലം,,Pending native review,
template.clinical.written,Written,كتابي,लिखित,എഴുത്തിലുള്ളത്,,Pending native review,
template.clinical.years,Years,سنوات,वर्ष,വർഷം,,Pending native review,
template.clinical.yes,Yes,نعم,हाँ,അതെ,,Pending native review,
